Nom_pharmacie;Adresse;Code_postal;Ville;Telephone
F35001939404012016;18;35490;35326;0299395123
F95001591711102001;23;95200;95585;
F92001191316102017;12;92140;92023;
F93001138201102019;32;93360;93049;0143001033
F06001789401032026;66;06000;06088;0493625444
F12000419701102012;16;12440;12258;0565818307
R10100000573913;82;94250;94037;
F29001140221072020;69;29250;29273;0298297198
F92001926206122017;112;92800;92062;0147762058
R10000001543200;105;38150;38468;
F36000226513032023;5;36400;36046;0254621410
R10100000726345;9;92300;92044;
F79001032603012022;37;79000;79191;0549240071
F75001991103042017;51;75011;75111;0147009266
F78001336308071999;25;78100;78551;0134513392
F75000906001022016;44;75002;75102;
R10100000203043;9;91140;91661;
F750050239;31;75004;75104;0142729293
F75001922630062017;1;75011;75111;0143796606
F75001522401092004;87;75008;75108;0145221874
F75003495118072014;7;75019;75119;
F94000730515102012;58;94220;94018;
F75003040513072022;68;75017;75117;
F89000343710072017;10;89000;89024;0386517069
F93001305701042024;106;93380;93059;
R10100000311620;3;13127;13117;
F75001599203012005;27;75009;75109;
R10100000826840;9;44958;44109;
F95001084319072002;64;95340;95487;0134700479
F950016097;1;95290;95313;0134084141
F92001856106032017;22;92200;92051;0146244073
F78001374401122025;74;78500;78586;
F06001181401012016;15;06400;06029;0493450493
F780000287;2;78201;78361;0134974000
F40000840501032026;32;40530;40133;0559454034
F91001191530122020;1;91480;91514;0169008851
F760040303;2;76120;76322;0232888990
F75003183302092024;89;75017;75117;
F930100045;;93143;93010;0148026666
F92000796001072020;151;92160;92002;
R10000001540436;8;92563;92063;0155476000
F94001311301092016;108;94160;94067;0143281316
F45001607601072025;25;45800;45284;0238551693
F77001167421062019;17;77176;77445;
R10100000632529;;27400;27332;0232094300
F490000049;4;49933;49007;0241353637
F89000405401032018;12;89800;89068;0386421022
F91000877001092022;;91470;91249;0164911124
F75001626301102014;66;75009;75109;0147708058
F78000753015072008;1;78990;78208;0130661633
F33004843030042022;2;33310;33249;0556815808
F930024419;;93400;93070;
F77000396001042018;15;77480;77051;
F930460050;30;93190;93046;0141701111
F37000338601022018;;37110;37063;0247295358
F280000050;32;28800;28051;0237447600
F75002382215112014;24;75014;75114;0145430338
F93001275205112007;148;93500;93055;0148451225
F67000923201072021;1;67540;67365;0388304284
R10000001535853;;55270;55527;0329802438
R10000001532981;13;94400;94081;
F75002228701072015;3;75013;75113;0145891005
F51001831001072010;2;51000;51108;0326640337
F190005165;32;19150;19061;0555936900
R10100000050226;173;75012;75056;
F91001116201072020;;91390;91434;0169047293
F93001652201082022;32;93250;93077;
F75003493629122025;105;75019;75119;0142065481
R10100000674777;14;78150;78158;
F93001340408102018;16;93340;93062;
F37000711401032026;61;37550;37208;0247274230
F75003245020062011;23;75018;75118;
F34079306601022023;;34170;34057;0467795875
F63000576705012026;;63114;63121;
F030007769;23;03000;03190;0470468545
F370104804;7;37390;37172;0247429922
F94000753721082017;32;94430;94019;
F940000615;17;94510;94060;0145937171
F450019492;15;45000;45234;0238862903
F78001054222092014;79;78320;78397;0134618593
F750023749;24;75010;75110;0140221269
F75001102525112024;18;75005;75105;0147070868
F75002580101082013;1;75015;75115;0148283128
F910020254;40;91106;91174;0161696169
R10000001537983;22;92150;92073;
F94001664501022026;66;94400;94081;
F76001390416052017;6;76110;76141;0235281077
F95001332621042009;1;95470;95641;0134686052
F62001014023082004;25;62710;62250;0321203068
F75002808617122018;2;75016;75116;
F920019619;141;92390;92078;0147867402
F75002092701062006;237;75012;75112;0143074459
F92000879401052022;3;92600;92004;0141118565
F640016325;47;64000;64445;0559847842
F75003607130062018;2;75020;75120;0147975075
R10000001525802;3;92506;92063;
F75001784001122003;10;75010;75110;0143704834
F75002380615022021;70;75014;75114;
F91000870501122021;12;91590;91232;0164576085
F93000997217122007;15;93100;93048;0148582318
F130039639;93;13012;13212;0491186240
F69001657101022008;;69780;69283;0478200354
F02000333119112024;3;02820;02215;0323224820
F67000978601112019;87;67300;67447;0388331199
F350000063;2;35470;35012;0299437140
F75001411001102024;75;75007;75107;0145516367
R10000001528307;2;35701;35238;0299876543
F75002377225122024;203;75014;75114;0145431554
F450000930;1;45400;45147;0238605958
R10100000296894;5;45100;45234;
F370013021;19;37170;37050;
F940000599;40;94195;94078;0143862000
F900000035;15;90002;90010;0384555252
F94000625701062008;4;94360;94015;0148814200
F920100013;9;92104;92012;0149095000
F75001857401102014;43;75011;75111;0143571607
F75001757630062017;125;75010;75110;0140357322
R10100000616361;31;75015;75115;
F920300415;67;92250;92035;0147807313
F870000064;2;87042;87085;0555055555
F75001798001052023;2;75010;75110;0142081780
F28000154601072021;15;28700;28015;0237317063
F29001163404092023;1;29550;29176;0298925034
F750056798;114;75010;75110;0155311067
F780000295;1;78250;78401;0130918500
R10100000278375;103;92300;92044;
F77000954615042006;331;77120;77320;0164032721
F92001519501072023;38;92130;92040;0146421651
F370000861;2;37044;37261;0247474747
F14002561001102014;127;14290;14478;0231328949
F93001473301012022;71;93200;93066;
R10100000669133;6;35574;35055;
F75003115509092016;1;75017;75117;0147630276
F85001633801042019;;85500;85109;0251910294
R10100000666410;14;92100;92012;0141318191
F75003583401062022;7;75020;75120;0143482975
F910001973;26;91152;91223;0160806048
F78000504701102016;1;78870;78043;0134629801
R10100000619377;15;93420;93078;
F92001654030042008;32;92240;92046;0142532672
F75003423301042021;191;75018;75118;0146273764
F950000331;2;95503;95277;0134532121
F91001291301012021;;91280;91573;0160757461
F76001705310052021;37;76600;76351;0235423576
F930000336;;93420;93078;0149367123
F24001285601032016;87;24750;24557;0553531955
F950000364;6;95300;95500;0130754040
F770018448;12;77220;77470;
F93000878401072019;11;93220;93032;0143301309
F910026780;1;91400;91471;0169159000
F92001871001022005;89;92200;92051;0146240242
F950048413;2;95310;95572;0674890578
F690000880;28;69373;69388;0478782828
F50001124201042020;31;50310;50341;0233412221
F94001274301122014;19;94420;94059;0145760527
F77000438001062021;8;77720;77082;0160699760
R10100000608404;981;27400;27332;0749295684
F750037491;10;75001;75101;0153458680
F35001955001072020;9;35170;35047;0299526896
F94000900401062022;;94120;94033;
F66078935501082020;6;66470;66182;0468735914
F95000501720042015;42;95100;95018;0139610506
F22001139901112025;;22100;22259;0296393181
F95001299727072015;115;95150;95607;0139603702
F45000446002071924;12;45270;45031;0238901088
F62001516401112021;8;62860;62638;0321595497
R10100000265589;11;92800;92062;
F95000648601022024;;95270;95149;
F31000743031122024;;31350;31080;0561882024
R10100000563461;8;94300;94080;
F620033118;9;62280;62758;
F95000820101102015;41;95130;95252;0134154700
F29001322601042011;82;29200;29019;0298476838
F77001054408062020;;77340;77373;
F52000240301032017;143;52100;52448;0325050160
F77001154229092025;33;77165;77437;
F920100054;104;92380;92033;0147107900
F85001527214122020;20;85400;85128;0251562387
F75003535406102025;121;75019;75119;0142082994
F78001316515092021;108;78100;78551;
F35001907115052024;84;35000;35238;0299367365
F78000514601102025;2;78390;78073;
F92001576504042016;9;92300;92044;0147587581
F940100035;7;94206;94041;0149594000
F94001591001072024;1;94300;94080;0143282561
F92000916409032015;2;92220;92007;0142531865
F770018349;10;77360;77479;0164724757
F85001559504052020;75;85700;85182;0251575618
F680021268;14;68000;68066;0389413587
F600000467;;60109;60175;0344616000
F77001039517062013;43;77340;77373;0160285045
F920000684;133;92350;92060;0144123500
F040000911;;04995;04070;0492301288
R10000001542734;1;94210;94068;0148832514
F560008799;11;56000;56260;0297625656
F82000503115092025;39;82210;82169;0563948109
R10100000791278;1590;83160;83144;
F78001446001082025;9;78140;78640;0139461658
F940023518;2;94380;94011;0143395751
F750066383;20;75011;75111;0143905001
F93001510201102017;63;93400;93070;0140110161
F64000734006022009;6;64260;64062;0559056035
F95001069401102022;;95520;95476;
F83001148202062017;7;83000;83137;0494090379
F950300244;1;95520;95476;0134209696
F94000727101072021;67;94220;94018;
F75002358231032023;229;75013;75113;0145897456
F92001539301072020;3;92130;92040;0146422389
F78000596311042022;2;78240;78133;0139653148
F13003122211092023;267;13240;13106;0491510627
F75001184329032010;33;75005;75105;
F92001748001012019;;92000;92050;0147217410
F75001168623072004;100;75005;75105;0143540970
F78001627501092006;36;78220;78686;0130244326
F92000874501012024;3;92600;92004;
F970400057;;97410;97416;0262359000
F75003295501082017;141;75018;75118;
R10100000785512;70;75015;75115;
F94000763605052015;25;94430;94019;
F13002418502032026;;13480;13019;0442690253
F060780491;231;06721;06123;0492273705
F91001106310102023;36;91390;91434;
F13001509231012021;87;13600;13028;0442084049
F75002217001082007;86;75012;75112;0143431368
F93000950128022016;53;93190;93046;
F91001069301092015;;91230;91421;0169030350
F92002050001012024;45;92330;92071;0146610091
F92001101201102016;15;92340;92014;0146650859
F77000979301102022;24;77140;77333;0164280022
F97020496231122023;35;97232;97213;0596511388
F97020506809081999;;97232;97213;0596426767
F97020489706012003;;97240;97210;0596545604
F97020494701072013;;97213;97212;0596675242
F97020491317122001;71;97240;97210;0596543057
F710978156;350;71500;71263;0385763100
F97020815314012020;;97222;97205;
F97020533206122006;;97233;97229;0596611442
F970211074;14;97232;97213;0596516798
F71000246014062004;;71260;71016;0385333238
F730014867;490;73200;73011;
R10100000606331;;97163;97120;0590894747
R10100000605765;;97285;97213;0596500596
F97020510001072023;;97214;97214;
F970211215;;97261;97209;0596552000
F97020475601112015;111;97200;97209;0596726753
R10100000165495;16;97232;97213;0596300400
F97020504331052013;;97232;97213;0596608580
F36000133301071998;10;36300;36018;0254370843
F97010659709112020;;97121;97102;0590221745
F380002725;8;38000;38185;0476493805
F97030355817092007;;97320;97311;
F97020472320122018;95;97200;97209;0596702069
F08000788327041989;;08110;08349;0324220853
F08000284331102024;6;08000;08105;0324332440
F080000318;1;08109;08105;0324568888
F440000271;1;44093;44109;0240087323
F73000545115012010;36;73220;73212;0479362181
F45001666201041998;22;45300;45310;0238397145
F08000231402092019;16;08120;08081;0324321061
F51002184301022014;25;51500;51536;0326491516
F73000798601062019;;73210;73197;0479079492
F330059361;2;33650;33274;0562898850
F10000791331032016;36;10000;10387;0325810176
F71000241101032024;21;71400;71014;
F51002208006061995;27;51340;51590;0326733690
F51002048011101989;94;51100;51454;0326472096
F51001826031102015;20;51000;51108;0326214313
F10000414201012018;77;10300;10362;0325747494
F02000649001072016;3;02190;02360;0323797046
F88000315713082018;11;88400;88196;0329633022
F51002091001022016;84;51100;51454;0326091746
F670000397;23;67606;67462;0388575555
R10100000139064;33;74240;74133;
F380000034;30;38302;38053;0474273099
F02000317401101942;42;02300;02173;0323520059
F51001844301072007;;51000;51108;0326219000
F550006555;1;55000;55029;0329458830
F51001819527072020;4;51000;51108;0326682737
F10000267401122025;19;10220;10287;0325463031
F21000646630092016;1;21320;21501;0380908280
F51001824501042009;1;51000;51108;0326651738
F51002066213122010;261;51100;51454;0326092738
F08000223101102014;26;08140;08053;0324274015
F51002059701102008;50;51100;51454;0326406060
F02000721716012006;9;02000;02408;0323230668
F10000296301042003;7;10100;10323;0325241505
F08000876618122006;81;08200;08409;0324270849
F55000172129082022;8;55130;55215;0329896311
F51001857512052003;4;51350;51172;0326821206
F80001447401062008;18;80000;80021;0322224585
F52000243701072000;19;52100;52448;0325051796
F08000207415072015;21;08190;08024;0324729561
F51001911001072010;51;51270;51238;0326593039
F020015566;1;02400;02085;0323698645
R10100000786135;;67960;67124;
F77000419004102022;1;77600;77058;0164669084
F45000459301042019;31;45300;45050;0238331315
F52000165201072001;40;52300;52250;0325940893
F22001081315032021;10;22300;22113;0296370409
F89000600019122025;;89700;89418;0386552040
F08000482301012020;17;08600;08190;0324420569
R10100000669540;;21800;21515;
F51001804701102009;185;51000;51108;0326641563
R10100000149380;110;79000;79191;
F300782117;;30029;30189;0466686868
F08000786713031995;17;08000;08346;0324332488
R10000001528588;;60390;60029;
F59002223201062006;226;59260;59350;0320567749
F51001839301012018;17;51000;51108;0326681773
F51001939123011978;75;51300;51328;0983502565
F51001816101022018;;51000;51108;0326681649
F52000253615012004;20;52130;52550;0325553423
F51001806201022019;8;51000;51108;0326640257
F100009547;15;10000;10387;0325434720
F52000180108092014;42;52200;52269;0325870149
F51001794019022007;14;51450;51055;0326072064
